"Well","Strain","Mutant"
"A1","Strain_A","Knock-OUT (-)"
"A2","Strain_A","Knock-OUT (-)"
"A3","Strain_A","Knock-OUT (-)"
"A4","Strain_A","Knock-OUT (-)"
"A5","Strain_A","Knock-OUT (-)"
"A6","Strain_A","Knock-OUT (-)"
"A7","Strain_A","Knock-IN (+)"
"A8","Strain_A","Knock-IN (+)"
"A9","Strain_A","Knock-IN (+)"
"A10","Strain_A","Knock-IN (+)"
"A11","Strain_A","Knock-IN (+)"
"A12","Strain_A","Knock-IN (+)"
"B1","Strain_B","Knock-OUT (-)"
"B2","Strain_B","Knock-OUT (-)"
"B3","Strain_B","Knock-OUT (-)"
"B4","Strain_B","Knock-OUT (-)"
"B5","Strain_B","Knock-OUT (-)"
"B6","Strain_B","Knock-OUT (-)"
"B7","Strain_B","Knock-IN (+)"
"B8","Strain_B","Knock-IN (+)"
"B9","Strain_B","Knock-IN (+)"
"B10","Strain_B","Knock-IN (+)"
"B11","Strain_B","Knock-IN (+)"
"B12","Strain_B","Knock-IN (+)"
"C1","Strain_C","Knock-OUT (-)"
"C2","Strain_C","Knock-OUT (-)"
"C3","Strain_C","Knock-OUT (-)"
"C4","Strain_C","Knock-OUT (-)"
"C5","Strain_C","Knock-OUT (-)"
"C6","Strain_C","Knock-OUT (-)"
"C7","Strain_C","Knock-IN (+)"
"C8","Strain_C","Knock-IN (+)"
"C9","Strain_C","Knock-IN (+)"
"C10","Strain_C","Knock-IN (+)"
"C11","Strain_C","Knock-IN (+)"
"C12","Strain_C","Knock-IN (+)"
